timestamp,power_w,temperature_c
2026-06-08T18:00:00-07:00,1.80,21.0
2026-06-08T18:10:00-07:00,69.00,21.0
2026-06-08T18:20:00-07:00,69.52,21.0
2026-06-08T18:30:00-07:00,70.03,21.0
2026-06-08T18:40:00-07:00,70.55,21.0
2026-06-08T18:50:00-07:00,71.07,21.0
2026-06-08T19:00:00-07:00,71.59,21.0
2026-06-08T19:10:00-07:00,72.10,21.0
2026-06-08T19:20:00-07:00,72.62,21.0
2026-06-08T19:30:00-07:00,73.14,21.0
2026-06-08T19:40:00-07:00,73.66,21.0
2026-06-08T19:50:00-07:00,74.17,21.0
2026-06-08T20:00:00-07:00,74.69,21.0
2026-06-08T20:10:00-07:00,75.21,21.0
2026-06-08T20:20:00-07:00,75.72,21.0
2026-06-08T20:30:00-07:00,76.24,21.0
2026-06-08T20:40:00-07:00,76.76,21.0
2026-06-08T20:50:00-07:00,77.28,21.0
2026-06-08T21:00:00-07:00,77.79,21.0
2026-06-08T21:10:00-07:00,78.31,21.0
2026-06-08T21:20:00-07:00,78.83,21.0
2026-06-08T21:30:00-07:00,79.34,21.0
2026-06-08T21:40:00-07:00,79.86,21.0
2026-06-08T21:50:00-07:00,80.38,21.0
2026-06-08T22:00:00-07:00,80.90,21.0
2026-06-08T22:10:00-07:00,81.41,21.0
2026-06-08T22:20:00-07:00,81.93,21.0
2026-06-08T22:30:00-07:00,82.45,21.0
2026-06-08T22:40:00-07:00,82.97,21.0
2026-06-08T22:50:00-07:00,83.48,21.0
2026-06-08T23:00:00-07:00,84.00,21.0
2026-06-08T23:10:00-07:00,78.50,21.0
2026-06-08T23:20:00-07:00,73.00,21.0
2026-06-08T23:30:00-07:00,67.50,21.0
2026-06-08T23:40:00-07:00,62.00,21.0
2026-06-08T23:50:00-07:00,56.50,21.0
2026-06-08T24:00:00-07:00,51.00,21.0
2026-06-08T24:10:00-07:00,45.50,21.0
2026-06-08T24:20:00-07:00,40.00,21.0
2026-06-08T24:30:00-07:00,34.50,21.0
2026-06-08T24:40:00-07:00,29.00,21.0
2026-06-08T24:50:00-07:00,23.50,21.0
2026-06-08T25:00:00-07:00,18.00,21.0
2026-06-08T25:10:00-07:00,4.47,21.0
2026-06-08T25:20:00-07:00,3.93,21.0
2026-06-08T25:30:00-07:00,3.40,21.0
2026-06-08T25:40:00-07:00,2.87,21.0
2026-06-08T25:50:00-07:00,2.33,21.0
2026-06-08T26:00:00-07:00,1.80,21.0
